AMRFP_Subclass	drug_class
NITROIMIDAZOLE	Others
QUATERNARY AMMONIUM	Compounds
MADURAMICIN	Others
PLEUROMUTILIN	Pleuromutilins
STREPTOGRAMIN	Streptogramins
STREPTOGRAMIN A	Streptogramins
STREPTOGRAMIN B	Streptogramins
TANIBORBACTAM	Others
TETRACENOMYCIN	Others
AMINOGLYCOSIDE	Aminoglycosides
BETA-LACTAM	Beta-lactams/penicillins
CARBAPENEM	Carbapenems
CEPHALOSPORIN	Cephalosporins (3rd gen.)
EFFLUX	Efflux
LINCOSAMIDE	Lincosamides
MACROLIDE	Macrolides
OXAZOLIDINONE	Oxazolidinones
PHENICOL	Amphenicols
QUINOLONE	Quinolones
TETRACYCLINE	Tetracyclines
TRIMETHOPRIM	Trimethoprims
